DATE,DDDM01USA156NWDB
1/1/2001,132.148
1/1/2002,101.0791
1/1/2003,124.5066
1/1/2004,133.6506
1/1/2005,130.4083
1/1/2006,141.6542
1/1/2007,137.8527
1/1/2008,78.7766
1/1/2009,104.3488
1/1/2010,115.2841
1/1/2011,100.6313
1/1/2012,115.2579
1/1/2013,143.1937
1/1/2014,150.2273
1/1/2015,137.4445
1/1/2016,145.9167
1/1/2017,164.3593
1/1/2018,147.6641
1/1/2019,158.1229
