U.S. Imports of Total Gasoline Weekly,
https://www.eia.gov/opendata/qb.php?sdid=PET.WGTIMUS2.W,
20:28:36 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Week of,Series ID: PET.WGTIMUS2.W Thousand Barrels per Day
11/13/2015,389
11/6/2015,353
10/30/2015,307
10/23/2015,722
10/16/2015,709
10/9/2015,719
10/2/2015,543
9/25/2015,990
9/18/2015,504
9/11/2015,722
9/4/2015,589
8/28/2015,835
8/21/2015,630
8/14/2015,869
8/7/2015,683
7/31/2015,822
7/24/2015,613
7/17/2015,815
7/10/2015,682
7/3/2015,852
6/26/2015,760
6/19/2015,896
6/12/2015,682
6/5/2015,666
5/29/2015,692
5/22/2015,775
5/15/2015,542
5/8/2015,776
5/1/2015,626
4/24/2015,763
4/17/2015,737
4/10/2015,545
4/3/2015,526
3/27/2015,709
3/20/2015,443
3/13/2015,664
3/6/2015,536
2/27/2015,640
2/20/2015,569
2/13/2015,635
2/6/2015,462
1/30/2015,672
1/23/2015,597
1/16/2015,683
1/9/2015,512
1/2/2015,760
12/26/2014,843
12/19/2014,878
12/12/2014,773
12/5/2014,561
11/28/2014,724
11/21/2014,440
11/14/2014,426
11/7/2014,501
10/31/2014,531
10/24/2014,493
10/17/2014,438
10/10/2014,428
10/3/2014,417
9/26/2014,504
9/19/2014,510
9/12/2014,327
9/5/2014,324
8/29/2014,801
8/22/2014,448
8/15/2014,741
8/8/2014,470
8/1/2014,435
7/25/2014,602
7/18/2014,625
7/11/2014,615
7/4/2014,609
6/27/2014,512
6/20/2014,507
6/13/2014,766
6/6/2014,560
5/30/2014,844
5/23/2014,725
5/16/2014,997
5/9/2014,877
5/2/2014,583
4/25/2014,651
4/18/2014,448
4/11/2014,532
4/4/2014,502
3/28/2014,533
3/21/2014,628
3/14/2014,421
3/7/2014,395
2/28/2014,330
2/21/2014,276
2/14/2014,410
2/7/2014,350
1/31/2014,620
1/24/2014,466
1/17/2014,528
1/10/2014,405
1/3/2014,379
12/27/2013,247
12/20/2013,486
12/13/2013,599
12/6/2013,671
11/29/2013,701
11/22/2013,710
11/15/2013,451
11/8/2013,446
11/1/2013,472
10/25/2013,537
10/18/2013,438
10/11/2013,584
10/4/2013,576
9/27/2013,559
9/20/2013,460
9/13/2013,492
9/6/2013,401
8/30/2013,430
8/23/2013,670
8/16/2013,373
8/9/2013,513
8/2/2013,635
7/26/2013,700
7/19/2013,322
7/12/2013,717
7/5/2013,493
6/28/2013,465
6/21/2013,937
6/14/2013,556
6/7/2013,692
5/31/2013,514
5/24/2013,712
5/17/2013,1081
5/10/2013,671
5/3/2013,780
4/26/2013,628
4/19/2013,662
4/12/2013,606
4/5/2013,876
3/29/2013,595
3/22/2013,505
3/15/2013,387
3/8/2013,727
3/1/2013,605
2/22/2013,575
2/15/2013,505
2/8/2013,611
2/1/2013,693
1/25/2013,623
1/18/2013,430
1/11/2013,375
1/4/2013,447
12/28/2012,487
12/21/2012,602
12/14/2012,521
12/7/2012,585
11/30/2012,513
11/23/2012,494
11/16/2012,616
11/9/2012,598
11/2/2012,270
10/26/2012,616
10/19/2012,526
10/12/2012,530
10/5/2012,502
9/28/2012,573
9/21/2012,491
9/14/2012,458
9/7/2012,799
8/31/2012,964
8/24/2012,690
8/17/2012,777
8/10/2012,788
8/3/2012,457
7/27/2012,638
7/20/2012,1020
7/13/2012,635
7/6/2012,919
6/29/2012,823
6/22/2012,773
6/15/2012,988
6/8/2012,684
6/1/2012,836
5/25/2012,796
5/18/2012,575
5/11/2012,675
5/4/2012,607
4/27/2012,774
4/20/2012,620
4/13/2012,427
4/6/2012,705
3/30/2012,885
3/23/2012,564
3/16/2012,632
3/9/2012,532
3/2/2012,576
2/24/2012,599
2/17/2012,845
2/10/2012,548
2/3/2012,715
1/27/2012,1045
1/20/2012,722
1/13/2012,553
1/6/2012,444
12/30/2011,734
12/23/2011,525
12/16/2011,601
12/9/2011,776
12/2/2011,820
11/25/2011,619
11/18/2011,956
11/11/2011,762
11/4/2011,750
10/28/2011,781
10/21/2011,675
10/14/2011,458
10/7/2011,418
9/30/2011,505
9/23/2011,541
9/16/2011,692
9/9/2011,659
9/2/2011,597
8/26/2011,608
8/19/2011,894
8/12/2011,677
8/5/2011,633
7/29/2011,845
7/22/2011,662
7/15/2011,881
7/8/2011,752
7/1/2011,700
6/24/2011,683
6/17/2011,867
6/10/2011,1115
6/3/2011,1158
5/27/2011,1239
5/20/2011,1447
5/13/2011,862
5/6/2011,1213
4/29/2011,1106
4/22/2011,1050
4/15/2011,853
4/8/2011,889
4/1/2011,1077
3/25/2011,884
3/18/2011,695
3/11/2011,648
3/4/2011,761
2/25/2011,808
2/18/2011,808
2/11/2011,935
2/4/2011,1037
1/28/2011,1173
1/21/2011,644
1/14/2011,722
1/7/2011,871
12/31/2010,513
12/24/2010,775
12/17/2010,1007
12/10/2010,876
12/3/2010,866
11/26/2010,698
11/19/2010,784
11/12/2010,562
11/5/2010,802
10/29/2010,871
10/22/2010,999
10/15/2010,779
10/8/2010,708
10/1/2010,713
9/24/2010,881
9/17/2010,850
9/10/2010,644
9/3/2010,1083
8/27/2010,1142
8/20/2010,1410
8/13/2010,1079
8/6/2010,958
7/30/2010,1233
7/23/2010,1082
7/16/2010,1175
7/9/2010,921
7/2/2010,1254
6/25/2010,1031
6/18/2010,844
6/11/2010,838
6/4/2010,788
5/28/2010,954
5/21/2010,1102
5/14/2010,836
5/7/2010,856
4/30/2010,1149
4/23/2010,985
4/16/2010,756
4/9/2010,571
4/2/2010,756
3/26/2010,710
3/19/2010,623
3/12/2010,608
3/5/2010,806
2/26/2010,775
2/19/2010,846
2/12/2010,709
2/5/2010,1168
1/29/2010,926
1/22/2010,823
1/15/2010,730
1/8/2010,892
1/1/2010,784
12/25/2009,753
12/18/2009,848
12/11/2009,967
12/4/2009,750
11/27/2009,1100
11/20/2009,928
11/13/2009,584
11/6/2009,732
10/30/2009,1077
10/23/2009,756
10/16/2009,649
10/9/2009,690
10/2/2009,1011
9/25/2009,851
9/18/2009,1028
9/11/2009,701
9/4/2009,985
8/28/2009,878
8/21/2009,1102
8/14/2009,942
8/7/2009,974
7/31/2009,1021
7/24/2009,991
7/17/2009,1026
7/10/2009,931
7/3/2009,1207
6/26/2009,979
6/19/2009,971
6/12/2009,1090
6/5/2009,872
5/29/2009,949
5/22/2009,1005
5/15/2009,938
5/8/2009,747
5/1/2009,823
4/24/2009,841
